IATA,ICAO,Airport
ASE,KASE,Aspen-Pitkin County Airport (Sardy Field)
ASF,URWA,Astrakhan Airport
ASG,NZAS,Ashburton
ASJ,RJKA,Amami Airport
ASK,DIYO,Yamoussoukro
ASO,HASO,Asosa
ASP,YBAS,Alice Springs Airport
ASR,LTAU,Kayseri Erkilet Intl Airport
ASU,SGAS,Asuncion Silvio Pettirossi Int
ASV,HKAM,Amboseli
ASW,HESN,Aswan Intl Airport
ATA,SPHZ,Comandante German Arias Grazz*
ATB,HSAT,Atbara
ATC,MYCA,Arthurs Town Airport
ATF,SEAM,Chachoan
ATH,LGAV,Athens Intl Airport (Eleftherios Venizelos)
ATI,SUAG,Artigas Intl
ATJ,FMME,Antsirabe
ATL,KATL,Hartsfield-Jackson Atlanta Intl Airport
ATQ,VIAR,Sri Guru Ram Dass Jee Intl Airport
ATR,GQPA,Atar
ATV,FTTI,Ati
ATW,KATW,Outagamie County Regional Airport
ATZ,HEAT,Asyut Intl Airport
AUA,TNCA,Queen Beatrix Intl Airport
AUC,SKUC,Santiago Perez
AUC,LFDH,Auch - Lamothe Airport
AUF,LFLA,Auxerre - Branches Airport
AUH,OMAA,Abu Dhabi Intl
AUR,LFLW,Aurillac Airport
AUS,KAUS,Austin-Bergstrom Intl Airport
AVI,MUCA,Maximo Gomez Intl Airport
AVK,ZMAH,Arvaikheer
AVL,KAVL,Asheville Regional Airport
AVN,LFMV,Avignon Airport
AVP,KAVP,Wilkes-Barre/Scranton Intl Airport
AVV,YAVV,Avalon Airport
AWA,HALA,Awasa
AWZ,OIAW,Ahwaz Airport
AXA,TQPF,Anguilla Wallblake
AXD,LGAL,Alexandroupolis Intl Airport (Dimokritos)
AXK,OYAT,Ataq
AXM,SKAR,El Eden
AXP,MYAP,Spring Point Airport
AXT,RJSK,Akita Airport
AXU,HAAX,Axum
AYN,ZHAY,Anyang Airport
AYP,SPHO,Col Alfredo Mendivil Duarte
AYQ,YAYE,Ayers Rock Airport
AYT,LTAI,Antalya Airport
AZD,OIYY,Shahid Sadooghi Airport
AZI,OMAD,Bateen
AZO,KAZO,Kalamazoo/Battle Creek Intl Airport
AZR,DAUA,Adrar - Touat-Ch Sidi Mohamed Belkebir Airport
AZZ,FNAM,Ambriz
BAG,RPUB,Loakan Airport
BAH,OBBI,Bahrain Intl Airport
BAI,MRBA,Buenos Aires Airport
BAK,UBBB,Bina
BAL,LTCJ,Batman Airport
BAN,FZVR,Basongo
BAQ,SKBQ,Ernesto Cortissoz
BAV,ZBOW,Baotou Airport
BAX,UNBB,Barnaul Airport
BAY,LRBM,Baia Mare Airport
BBA,SCBA,Balmaceda
BBG,NGTU,Butaritari
BBH,EDBH,Ostseeflughafen Stralsund-Barth
BBI,VEBS,Biju Patnaik Airport
BBK,FBKE,Kasane
BBM,VDBG,Battambang
BBN,WBGZ,Bario
BBO,HCMI,Berbera
BBP,EGHJ,Bembridge Airport
BBQ,TAPH,Codrington Airport
BBR,TFFB,Baillif Airport
BBS,EGLK,Blackbushe Airport
BBT,FEFT,Berberati
BBU,LRBS,Bucharest (Aurel Vlaicu) Intl Airport
BBV,DIGN,Nero-Mer
BBY,FEFM,Bambari
BBZ,FLZB,Zambezi
BCA,MUBA,Gustavo Rizo Airport
BCD,RPVB,Bacolod City Domestic Airport
BCL,MRBC,Barra del Colorado Airport
BCM,LRBC,Bacau Intl Airport
BCN,LEBL,Barcelona Intl Airport (El Prat)
BCO,HABC,Baco
BDA,TXKF,Hamilton Bermuda Intl
BDB,YBUD,Bundaberg Airport
BDH,OIBL,Bandar Lengeh Airport
BDI,FSSB,Bird Island
BDJ,WRBB,Syamsudin Noor Airport
BDK,DIBU,Soko
BDL,KBDL,Bradley Intl Airport
BDO,WIIB,Husein Sastranegara Airport
BDQ,VABO,Vadodara Airport / Civil Airport Harni (Mil./Civil)
BDS,LIBR,Casale Airport
BDT,FZFD,Gbadolite
BDU,ENDU,Bardufoss Airport
BDV,FZRB,Moba
BEB,EGPL,Benbecula Airport
BED,KBED,Laurence G. Hanscom Field / Hanscom AFB
BEF,MNBL,Bluefields
BEG,LYBE,Belgrade Nikola Tesla Airport
BEI,HABE,Beica
BEK,VOPN,Sri Sathya Sai Airport
BEL,SBBE,Val de C
BEN,HLLB,Benina International Airport
BER,EDDB,Berlin Brandenburg (Willy Brandt)
BES,LFRB,Brest Bretagne Airport
BET,PABE,Bethel Airport
BEU,YBIE,Bedourie Airport
BEV,LLBS,Teyman Airport
BEW,FQBR,Beira
BEY,OLBA,Beirut Intl
BFE,EDLI,Bielefeld
BFI,KBFI,King County Intl Airport (Boeing Field)
BFL,KBFL,Meadows Field Airport
BFN,FABL,Bloemfontein
BFO,FVCZ,Buffalo Range
BFS,EGAA,Belfast Intl Airport
BFU,ZSBB,Bengbu Airport
BFX,FKKU,Bafoussam
BGA,SKBG,Palonegro
BGB,FOGB,Booue
BGC,LPBG,Braganca Airport
BGF,FEFF,M'poko
BGH,GQNE,Bogue
BGI,TBPB,Grantley Adams Intl
BGL,VNBL,Baglung
BGM,KBGM,Greater Binghamton Airport (Edwin A. Link Field)
BGN,RPUZ,Bagabag Airport
BGO,ENBR,"Bergen Airport, Flesland"
BGR,KBGR,Bangor Intl Airport
BGU,FEFG,Bangassou
BGY,LIME,Orio al Serio Intl Airport
BGZ,LPBR,Braga Airport
BHA,SESV,Los Perales
BHB,KBHB,Hancock County-Bar Harbor Airport
BHD,EGAC,George Best Belfast City Airport
BHE,NZWB,Woodbourne (Military)
BHH,OEBH,Bisha Domestic Airport
BHI,SAZB,Comandante Espora Airport
BHJ,VABJ,"Shyamji Krishna Verma, Bhuj Airport"
BHK,UTSB,Bukhara
BHM,KBHM,Birmingham Intl Airport
BHN,OYBN,Beihan
BHO,VABP,Raja Bhoj Airport
BHP,VNBJ,Bhojpur
BHQ,YBHI,Broken Hill Airport
BHR,VNBP,Bharatpur
BHS,YBTH,Bathurst Airport
BHU,VABV,Bhavnagar Airport
BHV,OPBW,Bahawalpur Airport
BHX,EGBB,Birmingham Intl Airport
BHY,ZGBH,Beihai Airport
BIA,LFKB,Bastia-Poretta Airport
BIK,WABB,Frans Kaisiepo Airport
BIL,KBIL,Billings Logan Intl Airport
BIM,OABN,Bamyan
BIM,MYBS,South Bimini Airport
BIO,LEBB,Bilbao Airport
BIQ,LFBZ,Biarritz-Anglet-Bayonne Airport
BIR,VNVT,Biratnagar
BIS,KBIS,Bismarck Municipal Airport
BIT,VNBT,Baitadi
BIV,FEFR,Bria
BIY,FABE,Bisho
BJA,DAAE,Bejaia - Soummam-Abane Ramdane Airport
BJB,OIMN,Bojnord Airport
BJF,ENBS,Batsfjord Airport
BJH,VNBG,Bajhang
BJI,KBJI,Bemidji Regional Airport
BJL,GBYD,Banjul Intl Airport
BJM,HBBA,Bujumbura Intl
BJO,SLBJ,Bermejo
BJR,HABD,Bahir Dar
BJU,VNBR,Bajura
BJV,LTFE,Milas-Bodrum Airport
BJX,MMLO,Del Bajio Intl Airport
BJZ,LEBZ,Badajoz Airport
BKI,WBKK,Kota Kinabalu
BKJ,GUOK,Baralande
BKK,VTBD,Bangkok Intl Airport
BKO,GABS,Senou
BKQ,YBCK,Blackall Airport
BKR,FTTK,Bokoro
BKY,FZMA,Kavumu
BKZ,HTBU,Bukoba
BLA,SVBC,Gen. Jose Antonio Anzoategui
BLE,ESSD,Borlange
BLI,KBLI,Bellingham Intl Airport
BLK,EGNH,Blackpool Intl Airport
BLL,EKBI,Billund Airport
BLN,YBLA,Benalla Airport
