IATA,ICAO,Airport
CTM,MMCM,Chetumal Intl Airport
CTS,RJCC,New Chitose Airport
CTT,LFMQ,Le Castellet Airport
CTU,ZUUU,Chengdu Shuangliu Intl Airport
CUC,SKCC,Camilo Daza Intl
CUE,SECU,Mariscal Lamar
CUF,LIMZ,Cuneo Levaldigi Airport
CUL,MMCL,Federal de Bachigualato Intl Airport
CUM,SVCU,Antonio Jose De Sucre
CUN,MMUN,Cancun Intl Airport
CUO,SKCR,Caruru
CUP,SVCP,Gen Jose Francisco Bermudez
CUQ,YCOE,Coen Airport
CUR,TNCC,Hato Intl Airport
CUU,MMCU,General Roberto Fierro Villalobos Intl Airport
CUY,YCUE,Cue Airport
CUZ,SPZO,Velazco Astete
CVC,YCEE,Cleve Airport
CVE,SKCV,Covenas
CVF,LFLJ,Courchevel Airport
CVG,KCVG,Cincinnati/Northern Kentucky Intl Airport
CVJ,MMCB,General Mariano Matamoros Airport
CVM,MMCV,General Pedro J. Mendez National Airport
CVQ,YCAR,Carnarvon Airport
CVT,EGBE,Coventry Airport
CVU,LPCR,Corvo Airport
CVX,KCVX,Charlevoix Municipal Airport
CWA,KCWA,Central Wisconsin Airport
CWB,SBCT,Afonso Pena Intl Airport
CWL,EGFF,Cardiff Intl Airport
CWT,YCWR,Cowra Airport
CWW,YCOR,Corowa Airport
CXB,VGCB,Cox's Bazar Airport
CXI,PLCH,Cassidy Intl
CXN,HCMC,Candala
CXR,VVCR,Cam Ranh Airport
CYB,MWCB,Gerrard-Smith Intl
CYG,YCRG,Corryong Airport
CYO,MUCL,Vilo Acuna Airport
CYP,RPVC,Calbayog Airport
CYR,SUCA,Colonia International
CYS,KCYS,Cheyenne Regional Airport (Jerry Olson Field)
CYU,RPLO,Cuyo Airport
CYZ,RPUY,Cauayan Airport
CZE,SVCR,Jose L Chirinos Intl
CZL,DABC,Constantine - Mohamed Boudiaf Airport
CZM,MMCZ,Cozumel Intl Airport
CZS,SBCZ,Cruzeiro do Sul Intl Airport
CZU,SKCZ,Las Brujas
CZX,ZSCG,Changzhou Airport
DAB,KDAB,Daytona Beach Intl Airport
DAC,VGHS,Hazrat Shahjalal International Airport
DAD,VVDN,Da Nang Intl Airport
DAK,HEDK,Dakhla Airport
DAL,KDAL,Dallas Love Field
DAM,OSDI,Damascus Intl
DAP,VNDL,Darchula
DAR,HTDA,Dar-Es-Salaam Intl
DAT,ZBDT,Datong Airport
DAV,MPDA,Enrique Malek Intl
DAY,KDAY,James M. Cox Dayton Intl Airport
DBA,OPDB,Dalbandin Airport
DBM,HADM,Debre Marcos
DBO,YSDU,Dubbo Airport
DBQ,KDBQ,Dubuque Regional Airport
DBT,HADT,Debre Tabor
DBV,LDDU,Dubrovnik Airport
DCA,KDCA,Ronald Reagan Washington National Airport
DCF,TDCF,Canefield Airport
DCM,LFCK,Castres-Mazamet Airport
DDG,ZYDD,Dandong Airport
DEA,OPDG,Dera Ghazi Khan Airport
DEB,LHDC,Debrecen Intl Airport
DEC,KDEC,Decatur Airport
DED,VIDN,Jolly Grant Airport
DEI,FSSD,Denis Island
DEL,VIDP,Indira Gandhi Intl Airport
DEM,HADD,Dembi Dollo
DEN,KDEN,Denver Intl Airport
DES,FSDR,Desroches
DEZ,OSDZ,Deir Zzor
DFW,KDFW,Dallas-Fort Worth Intl Airport
DGE,YMDG,Mudgee Airport
DGO,MMDO,General Guadalupe Victoria Intl Airport
DGT,RPVD,Sibulan Airport
DGU,DFOD,Dedougou
DHI,VNDH,Dhangadhi
DHM,VIGG,Gaggal Airport (Kangra Airport)
DHN,KDHN,Dothan Regional Airport
DIB,VEC1,Chabua Airport (Dibrugarh Airport)
DIE,FMNA,Arrachart
DIJ,LFSD,Dijon-Bourgogne Airport
DIL,WPDL,Comoro (komoro) Airport
DIM,DIDK,Dimbokro Ville
DIN,VVDB,Dien Bien Phu Airport
DIR,HADR,A.T.D. Yilma Intl
DIS,FCPL,Dolisie
DIU,VA1P,Diu Airport
DIY,LTCC,Diyarbakir Airport
DJE,DTTJ,Zarzis
DJG,DAAJ,Djanet - Tiska Airport
DJJ,WAJJ,Sentani Airport
DJM,FCBD,Djambala
DJO,DIDL,Daloa
DKR,GOOY,Leopold Sedar Senghor
DLA,FKKD,Douala
DLC,ZYTL,Dalian Zhoushuizi Intl Airport
DLD,ENDI,Geilo Airport
DLE,LFGJ,Dole - Tavaux Airport
DLG,PADL,Dillingham Airport
DLH,KDLH,Duluth Intl Airport
DLI,VVDL,Lien Khuong Airport
DLM,LTBS,Dalaman Airport
DME,UUDD,Domodedovo Intl Airport
DMM,OEDF,King Fahd Intl Airport
DMU,VEMR,Dimapur Airport (Mil./Civil)
DND,EGPN,Dundee Airport
DNH,ZLDH,Dunhuang Airport
DNK,UKDD,Dnipropetrovsk Airport
DNO,YDLQ,Deniliquin Airport
DNP,VNDG,Dang
DNR,LFRD,Dinard - Pleurtuit-Saint Malo Airport
DNX,HSGG,Galegu
DNZ,LTAY,Denizli Cardak Airport
DOD,HTDO,Dodoma
DOG,HSDN,Dongola
DOH,OTBD,Doha Intl Airport
DOK,UKCC,Donetsk Airport
DOL,LFRG,Deauville - Saint-Gatien Airport
DOM,TDPD,Melville Hall Airport
DOP,VNDP,Dolpa
DOR,DFEE,Dori Ville
DPE,LFAB,Dieppe - Saint-Aubin Airport
DPL,RPMG,Dipolog Airport
DPO,YDPO,Devonport Airport
DPS,WADD,Bali Intl Airport
DRB,YDBY,Derby Airport
DRK,MRDK,Drake Bay Airport
DRN,YDBI,Dirranbandi Airport
DRO,KDRO,Durango-La Plata County Airport
DRS,EDDC,Flughafen Dresden
DRW,YPDN,Darwin Intl Airport
DSA,EGCN,Robin Hood Airport Doncaster Sheffield
DSC,FKKS,Dschang
DSD,TFFA,Grande Anse Airport
DSE,HADC,Combolcha
DSK,OPDI,Dera Ismail Khan Airport
DSM,KDSM,Des Moines Intl Airport
DTE,RPUD,Daet Airport
DTM,EDLW,Dortmund Airport 21
DTW,KDTW,Detroit Metropolitan Wayne County Airport
DUB,EIDW,Dublin Intl Airport
DUD,NZDN,Dunedin
DUJ,KDUJ,DuBois-Jefferson County Airport
DUN,BGDU,Dundas Airport
DUQ,CAM3,Duncan
DUR,FADN,Durban Intl
DUS,EDDL,Flughafen Dusseldorf International
DUT,PADU,Unalaska Airport
DVO,RPMD,Francisco Bangoy Intl Airport (Davao Intl Airport)
DWA,FWDW,Dwangwa
DWB,FMNO,Soalala
DWD,OEDW,Dawadmi Domestic Airport
DXB,OMDB,Dubai Intl
DYA,YDYS,Dysart Airport
DYR,UHMA,Ugolny Airport
DYU,UTDD,Dushanbe
DZN,UAKD,Zhezkazgan
DZO,SUDU,Santa Bernardina Intl
EAB,OYAB,Abbs
EAM,OENG,Najran Domestic Airport
EAS,LESO,San Sebastian Airport
EAT,KEAT,Pangborn Memorial Airport
EAU,KEAU,Chippewa Valley Regional Airport
EBA,LIRJ,Aeroporto Marina di Campo
EBB,HUEN,Entebbe Intl
EBD,HSOB,El Obeid
EBG,SKEB,El Bagre
EBJ,EKEB,Esbjerg Airport
EBL,ORER,Erbil Intl
EBM,DTTR,El Borma
EBU,LFMH,Saint-Etienne - Boutheon Airport
EBW,FKKW,Ebolowa
ECH,YECH,Echuca Airport
ECN,LCEN,Ercan Intl Airport
EDI,EGPH,Edinburgh Airport
EDL,HKED,Eldoret
EDM,LFRI,La Roche sur Yon - Rene Couzinet Airport
EDO,LTFD,Edremit Korfez Airport
EFD,KEFD,Ellington Field
EFL,LGKF,Kefalonia Island Intl Airport
EGC,LFBE,Bergerac - Roumaniere Airport
EGE,KEGE,Eagle County Regional Airport
EGN,HSGN,Geneina
EGO,UUOB,Belgorod Airport
EGS,BIEG,Egilsstaoir Airport
EIS,TUPJ,Beef I Intl
EIY,LLEY,Ein Yahav Airfield
EJA,SKEJ,Yariguies
EJH,OEWJ,Wedjh Domestic Airport
EKO,KEKO,Elko Regional Airport (J.C. Harris Field)
EKT,ESSU,Eskilstuna
ELB,SKBC,El Banco Apt.
ELC,YELD,Elcho Island Airport
ELF,HSFS,El Fasher
ELG,DAUE,El Golea Airport
ELH,MYEH,North Eleuthera Airport
ELM,KELM,Elmira/Corning Regional Airport
ELP,KELP,El Paso Intl Airport
ELQ,OEGS,Gassim Regional Airport
ELS,FAEL,East London
ELT,HETR,El Tor Airport
ELU,DAUO,El Oued - Guemar Airport
EMA,EGNX,Nottingham East Midlands Airport
EMD,YEML,Emerald Airport
EME,EDWE,Emden
EMG,FAEM,Empangeni
EMN,GQNI,Nema
ENA,PAEN,Kenai Municipal Airport
ENC,LFSN,Nancy - Essey Airport
ENF,EFET,Enontekio Airport
ENK,EGAB,Enniskillen/St Angelo Airport
ENO,SGEN,Quiteria
ENS,EHTW,Enschede Airport Twente
ENT,PKMA,Enewetak Aux Af
ENU,DNEN,Enugu
ENY,ZLYA,Yan'an Airport
EOH,SKMD,Olaya Herrera
EOR,SVED,El Dorado
EOZ,SVEZ,Elorza
EPA,OEPA,Qaisumah Domestic Airport
EPL,LFSG,Epinal - Mirecourt Airport
EPR,YESP,Esperance Airport
EPS,MDPO,El Portillo Airport
EPU,EEPU,Parnu Airport
EQS,SAVE,Esquel Airport
ERA,HCMU,Erigavo
ERC,LTCD,Erzincan Airport
ERF,EDDE,Erfurt
ERH,GMFK,Moulay Ali Cherif
ERI,KERI,Erie Intl Airport (Tom Ridge Field)
ERS,FYWE,Eros
ERZ,LTCE,Erzurum Airport
ESB,LTAC,Ankara Esenboga Intl Airport
ESH,OESH,Sharorah Domestic Airport
ESH,EGKA,Shoreham Airport
ESM,SETN,General Rivadeneira
ESR,SCES,El Salvador Bajo
ESS,EDLE,Flughafen Essen - Mulheim
ETE,HAMM,Metema
ETH,LLET,Eilat Airport (J. Hozman Airport)
ETZ,LFJL,Metz-Nancy-Lorraine Airport
EUG,KEUG,Eugene Airport (Mahlon Sweet Field)
EUQ,RPVS,Evelio Javier Airport (Antique Airport)
EUX,TNCE,F.D. Roosevelt Airport
EVE,ENEV,Harstad-Narvik Airport
EVG,ESND,Sveg
EVN,UGEE,Zvartnots
EVV,KEVV,Evansville Regional Airport
EVX,LFOE,Evreux - Fauville Airport
EWB,KEWB,New Bedford Regional Airport
EWD,OEWD,Wadi al-Dawasir Domestic Airport
EWN,KEWN,Craven County Regional Airport
EWO,FCOE,Ewo
EWR,KEWR,Newark Liberty Intl Airport
EXT,EGTE,Exeter Intl Airport
EYL,GAYE,Yelimane
EYP,SKYP,El Yopal
EYS,HKES,Eliye Springs
EYW,KEYW,Key West Intl Airport
EZE,SAEZ,Ezeiza Intl Airport
EZS,LTCA,Elazig Airport
FAA,GUFH,Badala
FAB,EGLF,Farnborough Airfield
FAE,EKVG,Vagar Airprot
FAH,OAFR,Farah
FAI,PAFA,Fairbanks Intl Airport
FAJ,TJFA,Diego Jimenez Torres Airport
FAN,ENLI,Farsund Airport
FAO,LPFR,Faro Airport
FAR,KFAR,Hector Intl Airport
FAT,KFAT,Fresno Yosemite Intl Airport
FAY,KFAY,Fayetteville Regional Airport (Grannis Field)
FBD,OAFZ,Faizabad
FBM,FZQA,Lubumbashi Intl
FCB,FAFB,Sentra Oes
FCN,ETMN,Flughafen Cuxhaven - Nordholz (Sea - Airport)
FCO,LIRF,Fiumicino (Leonardo Da Vinci Intl Airport)
FDE,ENBL,F
FDF,TFFF,Le Lamentin
FDH,EDNY,Friedrichshafen
FDO,SADF,San Fernando Airport
FDU,FZBO,Bandundu
FEB,VNSR,Sanfebagar
FEK,DIFK,Ferkessedougou
FER,HKFG,Ferguson's Gulf
FEZ,GMFF,Saiss
FFU,SCFT,Futaleufu
FGD,GQPF,F'derik
FHR,KFHR,Friday Harbor Airport
FIG,GUFA,Katourou
FIH,FZAA,N'djili Intl
FIZ,YFTZ,Fitzroy Crossing Airport
FJR,OMFJ,Fujairah Intl
FKB,EDSB,Karlsruhe/Baden-Baden
FKI,FZIC,Bangoka Intl
FKJ,RJNF,Fukui Airport
FKS,RJSF,Fukushima Airport
FLA,SKFL,Gustavo Artunduaga P
FLG,KFLG,Flagstaff Pulliam Airport
FLL,KFLL,Fort Lauderdale-Hollywood Intl Airport
FLN,SBFL,Herc
FLO,KFLO,Florence Regional Airport
FLR,LIRQ,A. Vespucci Florence Airport
FLS,YFLI,Flinders Island Airport
FLW,LPFL,Flores Airport
FMA,SARF,Formosa Intl Airport
FMI,FZRF,Kalemie
FMM,EDJA,Allgau Airport / Memmingen
FMN,KFMN,Four Corners Regional Airport
FMO,EDDG,Munster-Osnabruck
FNA,GFLL,Lungi
FNB,ETNU,Neubrandenburg (Mil./Civ.)
FNC,LPMA,Madeira Airport
FNG,DFEF,Fada N'Gourma
FNH,HAFN,Fincha
FNJ,ZKPY,Sunan
FNJ,ZKPY,Sunan
FNT,KFNT,Bishop Intl Airport
FOC,ZSFZ,Fuzhou Chengle Intl Airport
FOE,KFOE,Forbes Field
FOG,LIBF,Gino Lisa Airport
FOM,FKKM,Nkounja
FON,MRAN,La Fortuna Airport
FOR,SBFZ,Pinto Martins Intl Airport
FOS,YFRT,Forrest Airport
FOU,FOGF,Fougamou
FPO,MYGF,Grand Bahama Intl Airport (Freeport Intl)
FRA,EDDF,Frankfurt am Main
FRB,YFBS,Forbes Airport
FRK,FSSF,Fregate
FRL,LIPK,Forli Airport (L. Ridolfi Airport)
FRO,ENFL,Floro Airport
FRS,MGTK,Mundo Maya Intl Airport
FRU,UAFM,Manas
FRW,FBFT,Francistown
FSC,LFKF,Figari - Sud Corse Airport
FSD,KFSD,Sioux Falls Regional Airport (Joe Foss Field)
FSM,KFSM,Fort Smith Regional Airport
FSP,LFVP,St. Pierre Airport
FTU,FMSD,Tolagnaro
FTX,FCOO,Owando
FUE,GCFV,Fuerteventura Airport
FUG,ZSFY,Fuyang Airport
FUJ,RJFE,Goto-Fukue Airport
FUK,RJFF,Fukuoka Airport
FUN,NGFU,Funafuti Intl Airport
FWA,KFWA,Fort Wayne Intl Airport
FXO,FQCB,Cuamba
FYN,ZWFY,Fuyun Airport
FYT,FTTY,Faya Largeau
FZO,EGTG,Filton Aerodrome
GAF,DTTF,Ksar
GAJ,RJSC,Yamagata Airport
GAL,PAGA,Edward G. Pitka Sr. Airport
GAN,VRMG,Gan
GAO,MUGT,Mariana Grajales Airport
GAQ,GAGO,Korogoussou
GAS,HKGA,Garissa
GAT,LFNA,Tallard Airport
GAU,VEGT,Lokpriya Gopinath Bordoloi Intl Airport (Mil./Civil)
GAW,VYGG,Gantgaw
GAY,VEGY,Gaya Airport
GBE,FBSK,Sir Seretse Khama Intl
GBJ,TFFM,Marie Galante Airport
GBK,GFGK,Gbangbatoke
GBZ,NZGB,Great Barrier
GCC,KGCC,Gillette-Campbell County Airport
GCI,EGJB,Guernsey Airport
GCJ,FAGC,Grand Central
GCM,MWCR,Roberts Intl
GCN,KGCN,Grand Canyon National Park Airport
GDG,UHBI,Magdagachi Airport
GDJ,FZWC,Gandajika
GDL,MMGL,Don Miguel Hidalgo y Costilla Intl Airport
GDN,EPGD,Gdansk Lech Walesa Airport
GDO,SVGD,Guasdualito
GDQ,HAGN,Azezo
GDT,MBGT,Grand Turk Intl
GDX,UHMM,Sokol Airport
GEA,NWWM,Magenta
GEG,KGEG,Spokane Intl Airport (Geiger Field)
GEO,SYCJ,Cheddi Jagan Intl
GER,MUNG,Rafael Cabrera Airport
GES,RPMR,General Santos Intl Airport (Tambler Airport)
GET,YGEL,Geraldton Airport
GEV,ESNG,Gallivare
GFF,YGTH,Griffith Airport
GFK,KGFK,Grand Forks Intl Airport
GFN,YGFN,Grafton Airport
GFR,LFRF,Granville - Mont Saint Michel Airport
GFY,FYGF,Grootfontein
GGG,KGGG,East Texas Regional Airport
GGO,DIGL,Guiglo
GGT,MYEF,Exuma Intl Airport
GHA,DAUG,Ghardaia - Noumerat-Moufdi Zakaria Airport
GHB,MYEM,Governor's Harbour Airport
GHC,MYBG,Great Harbour Cay Airport
GIB,LXGB,Gibraltar
GID,HBBE,Gitega
GIG,SBGL,Galeao - Antonio Carlos Jobim Intl Airport
GII,GUSI,Siguiri
GIL,OPGT,Gilgit Airport
GIR,SKGI,Santiago Vila
GIS,NZGS,Gisborne
GIY,FAGI,Giyani
GIZ,OEGN,Gizan Regional Airport
GJL,DAAV,Jijel - Ferhat Abbas Airport
GJT,KGJT,Walker Field Airport
GKA,AYGA,Goroka
GKH,VNGK,Gorkha
GLA,EGPF,Glasgow Intl Airport
GLF,MRGF,Golfito Airport
GLI,YGLI,Glen Innes Airport
GLK,HCMR,Galcaio
GLL,ENKL,Gol Airport
GLO,EGBJ,Gloucestershire Airport
GLT,YGLA,Gladstone Airport
GMA,FZFK,Gemena
GMB,HAGM,Gambella
GME,UMGG,Gomel
GMN,NZGM,Greymouth
GMZ,GCGM,La Gomera Airport
GNA,UMMG,Grodno
GNB,LFLS,Grenoble - Isere Airport
GND,TGPY,Point Salines Intl Airport
GNN,HAGH,Ghinnir
GNV,KGNV,Gainesville Regional Airport
GNZ,FBGZ,Ghanzi
GOA,LIMJ,Genoa Cristoforo Colombo Airport
GOB,HAGB,Robe
GOH,BGGH,Nuuk Airport
GOI,VAGO,Dabolim Airport (Goa Airport) (Mil./Civil)
GOJ,UWGG,Strigino Airport (Gorkij Airport)
GOM,FZNA,Goma Intl
GOP,VEGK,Gorakhpur Airport (Mil./Civil)
GOQ,ZLGM,Golmud Airport
GOR,HAGR,Gore
GOT,ESGG,Landvetter
GOU,FKKR,Garoua
GOV,YPGV,Gove Airport
GOY,VCCG,Amparai
GOZ,LBGO,Gorna Oryahovitsa Airport
GPA,LGRX,Araxos National Airport
GPI,SKGP,Guapi
GPI,KGPI,Glacier Park Intl Airport
GPL,MRGP,Guapiles Airport
GPN,YGPT,Garden Point Airport
GPO,SAZG,General Pico Airport
GPS,SEGS,Seymour Airport
GPS,SEGS,Seymour
GPT,KGPT,Gulfport-Biloxi Intl Airport
GRB,KGRB,Austin Straubel Intl Airport
GRG,OAGZ,Gardez
GRJ,FAGG,George
GRK,KGRK,Killeen-Fort Hood Regional Airport (R. Gray Army Airfield)
GRO,LEGE,Girona-Costa Brava Airport
GRQ,EHGG,Groningen Airport Eelde
GRR,KGRR,Gerald R. Ford Intl Airport
GRS,LIRS,Grosseto Airport
GRU,SBGR,Guarulhos Intl Airport
GRW,LPGR,Graciosa Airport
GRX,LEGR,Federico Garcia Lorca Granada-Jaen Airport
GRZ,LOWG,Graz
GSE,ESGP,Goteborg City Airport
GSO,KGSO,Piedmont Triad Intl Airport
GSP,KGSP,Greenville-Spartanburg Intl Airport
GSQ,HEOW,Shark El Oweinat Intl Airport
GSR,HCMG,Gardo
GSU,HSGF,Gedaref
GTE,YGTE,Groote Eylandt Airport
GTF,KGTF,Great Falls Intl Airport
GTN,NZGT,Glentanner
GTR,KGTR,Golden Triangle Regional Airport
GUA,MGGT,Guatemala La Aurora Intl Airport
GUB,MMGR,Guerrero Negro Airport
GUC,KGUC,Gunnison-Crested Butte Regional Airport
GUD,GAGM,Goundam
GUH,YGDH,Gunnedah Airport
GUI,SVGI,Guiria
GUL,YGLB,Goulburn Airport
GUM,PGUM,Guam Intl Airport
GUQ,SVGU,Guanare
GUW,UATG,Atyrau
GVA,LSGG,Geneva - Cointrin
GVX,ESSK,Gavle-Sandviken
GWA,VYGW,Gwa
GWD,OPGD,Gwadar Intl Airport
GWE,FVTL,Thornhill
GWL,VIGR,Gwalior Airport (Mil./Civil)
GWT,EDXW,Sylt
GWY,EICM,Galway Airport
GXF,OYSY,Sayun
GXG,FNNG,Negage
GXQ,SCCY,Teniente Vidal
GYA,SLGY,Cap Av Emilio Beltran
GYE,SEGU,Simon Bolivar Intl
GYI,HRYG,Gisenyi
GYM,MMGM,General Jose Maria Yanez Intl Airport
GYN,SBGO,Santa Genoveva Airport
GZP,LTFG,Gazipasa (Alanya) Airport
GZT,LTAJ,Oguzeli Airport
HAA,ENHK,Hasvik Airport
HAC,RJTH,Hachijojima Airport
HAD,ESMT,Halmstad
HAH,FMCH,Prince Said Ibrahim
HAJ,EDDV,Hannover-Langenhagen
HAK,ZJHK,Haikou Meilan Intl Airport
HAM,EDDH,Hamburg-Fuhlsbuttel
HAN,VVNB,Noi Bai Intl Airport
HAQ,VRMH,Hanimaadhoo
HAS,OEHL,Hail Regional Airport
HAU,ENHD,Haugesund Airport
HAV,MUHA,Jose Marti Intl Airport
HAW,EGFE,Haverfordwest Aerodrome
HBA,YMHB,Hobart Intl Airport
HBE,HEBA,Borg El Arab Intl Airport
HBT,OEKK,Hafr al-Batin Domestic Airport
HBX,VA1A,Hubli Airport (Mil./Civil)
HCM,HCME,Eil
HCQ,YHLC,Halls Creek Airport
HDD,OPKD,Hyderabad Airport
HDF,EDAH,Heringsdorf
HDF,EDAH,Heringsdorf
HDM,OIHH,Hamadan Airport
HDN,KHDN,Yampa Valley Airport
HDS,FAHT,Hoedspruit
HDY,VTSS,Hat Yai Intl Airport
HEA,OAHR,Herat
HEH,VYHH,Heho
HEI,EDXB,Heide-Busum
HEK,ZYHE,Heihe Airport
HEL,EFHK,Helsinki-Vantaa Airport
HEM,EFHF,Helsinki-Malmi Airport
HER,LGIR,Heraklion Intl Airport (Nikos Kazantzakis)
HET,ZBHH,Hohhot Baita Intl Airport
HEX,MDHE,Herrera Intl Airport
HFA,LLHA,Haifa Airport (U. Michaeli Airport)
HFE,ZSOF,Hefei Luogang Intl Airport
HFN,BIHN,Hornafjorour Airport
HFS,ESOH,Hagfors
HFT,ENHF,Hammerfest Airport
HGH,ZSHC,Hangzhou Xiaoshan Intl Airport
HGL,EDXH,Helgoland-Dune
HGN,VTCH,Mae Hong Son Airport
HGO,DIKO,Korhogo
HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field)
HGS,GFHA,Hastings
HGU,AYMH,Mount Hagen
HHN,EDFH,Frankfurt-Hahn
HHQ,VTPH,Hua Hin Airport
HID,YHID,Horn Island Airport
HIJ,RJOA,Hiroshima Airport
HIL,RPVH,Hilongos Airport
HIR,AGGH,Honiara Intl
HJR,VAKJ,Khajuraho Airport
HKD,RJCH,Hakodate Airport
HKG,VHHH,Hong Kong Intl Airport - Chep Lap Kok
HKK,NZHK,Hokitika
HKT,VTSP,Phuket Intl Airport
HLA,FALA,Lanseria
HLD,ZBLA,Hailar Dongshan Airport
HLF,ESSF,Hultsfred
HLH,ZBUL,Ulanhot Airport
HLN,KHLN,Helena Regional Airport
HLP,WIIH,Halim Perdanakusuma Intl Airport
HLS,YSTH,St Helens Airport
HLT,YHML,Hamilton Airport
HLU,NWWH,Nesson
HLW,FAHL,Hluhluwe
HLZ,NZHN,Hamilton Intl Airport
HME,DAUH,Hassi Messaoud - Oued Irara - Krim Belkacem Airport
HMI,ZWHM,Hami Airport
HMO,MMHO,General Ignacio Pesqueira Garcia Intl Airport
HMR,ENHA,Hamar Airport
HMV,ESUT,Hemavan
HNA,RJSI,Hanamaki Airport
HND,RJTT,Tokyo Intl Airport (Haneda)
HNL,PHNL,Honolulu Intl Airport (Civil/Mil.)
HNM,PHHN,Hana Airport
HNY,ZGHY,Hengyang Airport
HOA,HKHO,Hola
HOD,OYHD,Hodeidah Intl
HOF,OEAH,al-Ahsa Domestic Airport
HOG,MUHG,Frank Pais Airport
HOM,PAHO,Homer Airport
HOQ,EDQM,Hof-Plauen
HOR,LPHR,Horta Airport
HOU,KHOU,William P. Hobby Airport
HOV,ENOV,Orsta-Volda Airport
HOX,VYHL,Hommalin
HPA,NFTL,Ha'apai-Lifuka
HPH,VVCI,Cat Bi Airport
HPN,KHPN,Westchester County Airport
HRB,ZYHB,Harbin Taiping Intl Airport
HRE,FVHA,Harare Intl
HRG,HEGN,Hurghada Intl Airport
HRK,UKHH,Osnova Airport
HRL,KHRL,Valley Intl Airport
HRS,FAHR,Harrismith
HSG,RJFS,Saga Airport
HSM,YHSM,Horsham Airport
HSN,ZSZS,Zhoushan Airport
HSV,KHSV,Huntsville Intl Airport (Carl T. Jones Field)
HTA,UIAA,Kadala Airport
HTI,YBHM,Hamilton Island Airport
HTN,ZWTN,Hotan Airport
HTR,RORH,Hateruma Airport
HTS,KHTS,Tri-State Airport (Milton J. Ferguson Field)
HTU,YHPN,Hopetoun Airport
HTZ,SKHC,Hato Corozal
HUE,HAHU,Humera
HUG,MGHT,Huehuetenango Airport
HUI,VVPB,Phu Bai Airport
HUQ,HLON,Hon
HUU,SPNC,Alferez David Figueroa Fernan
HUV,ESNH,Hudiksvall
HUX,MMBT,Bah
HUY,EGNJ,Humberside Airport
HVA,FMNL,Analalava
HVB,YHBA,Hervey Bay Airport
HVG,ENHV,Honningsvag Airport
HVN,KHVN,Tweed-New Haven Airport
HWN,FVWN,Hwange National Park
HXD,KHXD,Hilton Head Airport
HXX,YHAY,Hay Airport
HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field)
HYD,VOHY,Rajiv Gandhi Intl Airport
HYN,ZSLQ,Huangyan Luqiao Airport
HYV,EFHV,Hyvinkaa Airport
HZB,LFQT,Merville - Calonne Airport
HZG,ZLHZ,Hanzhong Airport
IAD,KIAD,Washington Dulles Intl Airport
IAH,KIAH,George Bush Intercontinental Airport
IAM,DAUZ,Zarzaitine - In Amenas Airport
IAS,LRIA,Iasi Intl Airport
IBA,DNIB,New Ibadan
IBE,SKIB,Perales
IBP,SPBR,Iberia
IBZ,LEIB,Ibiza Airport
ICA,SVIC,Icabaru
ICN,RKSI,Incheon Intl
ICR,MUNC,Nicaro Airport
ICT,KICT,Wichita Mid-Continent Airport
IDA,KIDA,Idaho Falls Regional Airport (Fanning Field)
IDB,ESUE,Idre
IDF,FZCB,Idiofa
IDR,VAID,Devi Ahilyabai Holkar Intl Airport
IDY,LFEY,d'Yeu - Grand Phare Airport
IEG,EPZG,Zielona Gora Intl Airport
IEJ,RORE,Iejima Airport
IEV,UKKK,Zhuliany Intl Airport
IFJ,BIIS,Isafjorour Airport
IFN,OIFM,Isfahan Intl Airport
IFO,UKLI,Ivano-Frankivsk Airport
IFP,KIFP,Laughlin/Bullhead Intl Airport
IGA,MYIG,Inagua Airport (Matthew Town Airport)
IGN,RPMI,Maria Cristina Airport
IGO,SKIG,Chigorodo
IGR,SARI,Cataratas del Iguazu Intl Airport
IGS,ETSI,Ingolstadt-Manching
IGU,SBFI,Foz do Iguacu Intl Airport
IHN,OYQN,Qishn
IHO,FMSI,Ihosy
IKA,OIIE,Imam Khomeini Intl Airport
IKI,RJDB,Iki Airport
IKL,FZGV,Ikela
IKT,UUII,Irkutsk Intl Airport
ILF,CZBD,Ilford
ILK,FMMQ,Atsinanana
ILM,KILM,Wilmington Intl Airport
ILO,RPVI,Mandurriao Airport
ILP,NWWE,Moue
ILR,DNIL,Ilorin
ILU,HKKL,Kilaguni
ILY,EGPI,Islay Airport
ILZ,LZZI,Zilina Airport
IMB,SYIB,Imbaimadai
IMF,VEIM,Imphal Airport (Tulihal Airport)
IMK,VNST,Simikot
IMO,FEFZ,Zemio
IMP,SBIZ,Prefeito Renato Moreira Airport
INC,ZLIC,Yinchuan Helanshan Airport
IND,KIND,Indianapolis Intl Airport
INF,DATG,In Guezzam Airport
INH,FQIN,Inhambane
INI,LYNI,Nis Constantine the Great Intl Airport
INL,KINL,Falls Intl Airport
INN,LOWI,Innsbruck
INO,FZBA,Inongo
INU,ANAU,Nauru Intl Airport
INV,EGPE,Inverness Airport
INZ,DAUI,In Salah Airport
IOA,LGIO,Ioannina National Airport
IOM,EGNS,Isle of Man Airport
ION,FCOI,Impfondo
IOS,SBIL,Jorge Amado Airport
IPE,RPMV,Ipil Airport
IPH,WMKI,Sultan Azlan Shah
IPI,SKIP,San Luis
IPL,KIPL,Imperial County Airport
